curve_idx,y,x,diameter_px,ref_diameter_px,percent_diameter_stenosis,intensity,ref_intensity,percent_intensity_drop,diameter_mm,ref_diameter_mm
16,478,347,6.0,6.0,1.6666666935449825e-07,0.45928124,0.4706441551446915,2.414335511393051,1.3199999,1.32
17,477,347,5.0,6.0,16.66666680555555,0.4544678,0.4706441551446915,3.437068405999666,1.1,1.32
18,476,348,6.0,6.0,1.6666666935449825e-07,0.45512536,0.4706441551446915,3.297353842458872,1.3199999,1.32
19,475,348,6.3245554,6.0,-5.409256441546106,0.46256697,0.4706441551446915,1.7161996183122086,1.3914021,1.32
20,474,348,6.0,6.0,1.6666666935449825e-07,0.4739595,0.4720472991466522,-0.40508575609052855,1.3199999,1.32
21,473,348,5.0,6.0,16.66666680555555,0.48364022,0.4726978152990341,-2.3148823321907486,1.1,1.32
22,472,348,5.0,6.0,16.66666680555555,0.4881031,0.47372162342071533,-3.0358457966555896,1.1,1.32
23,471,348,5.0,6.0,16.66666680555555,0.48825052,0.4807360082864761,-1.563125131735843,1.1,1.32
24,470,349,5.0,6.0,16.66666680555555,0.48572713,0.4848923683166504,-0.1721522315894619,1.1,1.32
25,469,348,5.0,6.0,16.66666680555555,0.4798136,0.48468367755413055,1.004795938513059,1.1,1.32
26,468,348,6.0,6.0,1.6666666935449825e-07,0.47050336,0.4844749867916107,2.8838715828683137,1.3199999,1.32
27,467,348,6.0,6.0,1.6666666935449825e-07,0.46155885,0.4842662960290909,4.689043430633754,1.3199999,1.32
28,466,348,6.3245554,6.0,-5.409256441546106,0.4563042,0.48405760526657104,5.733495734440086,1.3914021,1.32
29,465,347,7.28011,6.03245553970337,-20.682362636102923,0.45394138,0.4838489145040512,6.181175150392349,1.6016241,1.3271402187347414
30,464,347,7.0,6.324555397033691,-10.679716588696975,0.4524655,0.48364022374153137,6.445851101442724,1.54,1.391402187347412
31,463,347,6.3245554,6.324555397033691,1.5811387754638417e-07,0.45097145,0.48325756192207336,6.68093360890718,1.3914021,1.391402187347412
32,462,347,6.3245554,6.324555397033691,1.5811387754638417e-07,0.44928488,0.48287490010261536,6.956258866731934,1.3914021,1.391402187347412
33,461,346,7.28011,6.324555397033691,-15.108642644799186,0.44844708,0.48249223828315735,7.056107105945053,1.6016241,1.391402187347412
34,460,346,7.0,6.7298221588134775,-4.0146355194725425,0.45014787,0.48210957646369934,6.6295548062799465,1.54,1.4805608749389652
35,459,347,7.28011,7.0,-4.00156959935114,0.4549135,0.48172691464424133,5.566105256191123,1.6016241,1.54
36,458,346,7.28011,7.112043952941894,-2.3631169926475293,0.46071076,0.4813442528247833,4.286640661804208,1.6016241,1.5646496696472167
37,457,346,7.28011,7.280109882354736,1.373605673649081e-07,0.46353933,0.4809615910053253,3.622382497375176,1.6016241,1.601624174118042
38,456,346,8.0,7.280109882354736,-9.888451112547925,0.46180424,0.4805789291858673,3.9066835254311316,1.76,1.601624174118042
39,455,346,7.0,7.280109882354736,3.8476052765205604,0.45864227,0.4801962673664093,4.48858190723771,1.54,1.601624174118042
40,454,345,6.3245554,7.280109882354736,13.125550430557754,0.4575573,0.4798136055469513,4.638535471552963,1.3914021,1.601624174118042
41,453,345,7.0,7.280109882354736,3.8476052765205604,0.45819607,0.47922819554805757,4.388750815174081,1.54,1.601624174118042
42,452,345,6.0,7.280109882354736,17.583661665589055,0.45802182,0.47864278554916384,4.308218184707546,1.3199999,1.601624174118042
43,451,345,6.0,7.280109882354736,17.583661665589055,0.4557568,0.4780573755502701,4.664831657577251,1.3199999,1.601624174118042
44,450,345,6.0,7.280109882354736,17.583661665589055,0.45192984,0.47747196555137633,5.349452825287693,1.3199999,1.601624174118042
45,449,345,6.3245554,7.280109882354736,13.125550430557754,0.44806418,0.4768865555524826,6.043866488608874,1.3914021,1.601624174118042
46,448,345,5.3851647,7.280109882354736,26.029073498510126,0.4461341,0.4763011455535889,6.333611577100362,1.1847363,1.601624174118042
47,447,345,5.3851647,7.280109882354736,26.029073498510126,0.44696265,0.47571573555469515,6.044174747792241,1.1847363,1.601624174118042
48,446,346,4.472136,7.280109882354736,38.57048744062437,0.44935447,0.4751303255558014,5.42500948702751,0.9838699,1.601624174118042
49,445,347,5.8309517,7.280109882354736,19.905718774970037,0.452267,0.47454491555690764,4.694589114466852,1.2828094,1.601624174118042
50,444,347,4.472136,7.280109882354736,38.57048744062437,0.45627978,0.4739595055580139,3.7302196784053443,0.9838699,1.601624174118042
51,443,348,5.656854,7.252098894119262,21.997007659861122,0.46170458,0.4738405644893646,2.56119740832792,1.2445079,1.5954617567062377
