y,x,diameter_px,ref_diameter_px,percent_diameter_stenosis,diameter_mm,ref_diameter_mm
0,444,10.0,8.94427190999916,-11.80339874998948,2.2,1.967739820199815
0,443,10.0,9.68328157299975,-3.270775658907721,2.2,2.130321946059945
0,442,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,441,10.0,10.0,1.000000082740371e-07,2.2,2.2
0,440,10.198039027185569,10.0,-1.9803901698753013,2.243568585980825,2.2
0,439,10.770329614269007,10.0,-7.703296034986762,2.3694725151391816,2.2
0,438,11.661903789690601,10.0,-16.619037780286973,2.5656188337319326,2.2
0,437,12.0,10.0,-19.999999879999987,2.64,2.2
0,436,12.0,10.0,-19.999999879999987,2.64,2.2
0,435,12.0,10.178235124467012,-17.89863214462264,2.64,2.2392117273827425
1,434,10.198039027185569,10.198039027185569,9.805807277274425e-08,2.243568585980825,2.243568585980825
2,433,8.94427190999916,10.198039027185569,12.294198155299686,1.967739820199815,2.243568585980825
3,432,8.48528137423857,10.198039027185569,16.794970647804885,1.8667619023324853,2.243568585980825
3,431,7.211102550927978,10.198039027185569,29.28932195068278,1.5864425612041553,2.243568585980825
3,430,5.656854249492381,10.198039027185569,44.52998043186991,1.2445079348883237,2.243568585980825
3,429,4.47213595499958,10.198039027185569,56.14709907764984,0.9838699100999075,2.243568585980825
4,428,4.47213595499958,10.198039027185569,56.14709907764984,0.9838699100999075,2.243568585980825
5,427,4.0,10.198039027185569,60.77677301082473,0.88,2.243568585980825
5,426,4.0,10.198039027185569,60.77677301082473,0.88,2.243568585980825
4,425,4.0,10.178235124467012,60.700455951792456,0.88,2.2392117273827425
5,424,4.0,10.158431221748456,60.62384133193049,0.88,2.2348548687846606
4,423,4.0,10.138627319029899,60.54692740755139,0.88,2.2304980101865777
4,422,4.0,10.118823416311342,60.469712421317176,0.88,2.2261411515884952
4,421,4.0,10.099019513592784,60.39219460210552,0.88,2.221784292990413
4,420,4.0,10.079215610874227,60.3143721648743,0.88,2.21742743439233
